Model,Params,Time,Accuracy
Original Model_JF,11481338,0.018423864030838014,69.032
Stage 1 last 2 conv_JF,11476106,0.02166505603790283,66.964
Stage 1 last 2 conv_Kevin,11476106,0.02163373103141785,64.72
Stage 1-5_JF,11475482,0.02045701279640198,65.554
Stage 1-5_Kevin,11475482,0.018359137582778927,63.754
Stage 2 last 2 conv_JF,11453002,0.01820660972595215,57.6
Stage 2-5_JF,11449754,0.02130372486114502,55.616
Stage 2-5_Kevin,11449754,0.020862190198898314,55.16
Stage 2_JF,11449754,0.020895651006698605,55.616
Stage 2_Kevin,11449754,0.017476851272583006,55.16
Stage 3 first 2 conv_JF,11481338,0.022100155210494993,62.964
Stage 3 first 2 conv_Kevin,11481338,0.0179842209815979,62.25
Stage 3 last 2 conv_JF,11481338,0.021292623996734615,68.124
Stage 3 last 2 conv_Kevin,11481338,0.018505444908142092,66.612
Stage 3-5_Kevin,11249690,0.01919477753639221,65.012
Stage 3_Kevin,11249690,0.0201919328212738,64.952
Stage 4 first 2 conv_JF,11481338,0.01837853760719299,67.286
Stage 4 last 2 conv_JF,11481338,0.021044512128829955,68.52
Stage 4 last 2 conv_Kevin,11481338,0.021732052850723268,67.248
Stage 4-5_JF,10125626,0.018314494371414185,69.044
Stage 4-5_Kevin,10125626,0.017139166212081912,67.194
Stage 4_Kevin,10125626,0.017677990341186525,67.058
