Model,Accuracy,Memory (MB)
Stage 4_Kevin,67.058,681.36328125
Original Model_JF,69.032,756.73828125
Stage 3_Kevin,64.952,670.11328125
Stage 2_Kevin,55.16,593.61328125
Stage 2_JF,55.616,593.61328125
Stage 4-5_Kevin,67.194,681.36328125
Stage 4-5_JF,69.044,681.36328125
Stage 2-5_JF,55.616,593.61328125
Stage 3-5_Kevin,65.012,670.11328125
Stage 2-5_Kevin,55.16,593.61328125
Stage 1-5_JF,65.554,626.61328125
Stage 4 last 2 conv_Kevin,67.248,698.61328125
Stage 3 last 2 conv_Kevin,66.612,698.61328125
Stage 4 last 2 conv_JF,68.52,698.61328125
