Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Original Model_Kevin,0.8843990526939018,1.0,1.0,0.930952358445841,1.0
Stage 4_JF,0.9954114860864418,0.0,0.0,0.7904249992043592,0.5379310344827586
Original Model_JF,1.0,1.0,1.0,0.9452777483210739,1.0
Last 2_JF,0.9441977501480162,0.0,0.0,0.8137685942027911,0.5379310344827586
Last 2_Kevin,0.8547957371225575,0.0,0.0,0.8147910552910139,0.5379310344827586
Stage 2-5_JF,0.002516281823564159,0.976703016569891,0.5756974932729075,0.7630871357901091,0.0
Stage 4-5_JF,0.999259917110716,0.0,0.0,0.6028723677351255,0.5379310344827586
Stage 4-5_Kevin,0.8623445825932505,0.0,0.0,0.712273388458394,0.5379310344827586
Stage 3-5_JF,0.8078744819419772,0.8291318510126044,0.3165274040504178,0.9104996858096891,0.4689655172413793
Stage 1-5_JF,0.7409709887507401,0.9956804985129585,0.7235519048293443,0.7041634024075938,0.20229885057471264
Stage 2 last 2 conv_JF,0.1523090586145648,0.9790988056460369,0.6655808903365906,0.8777078228660943,0.5149425287356322
Stage 4 first 2 conv_JF,0.8691533451746595,1.0,1.0,0.9648789885379456,0.6436781609195402
Stage 2 last 2 conv_Kevin,0.11308466548253394,0.9790988056460369,0.6655808903365906,0.965452704214104,0.5149425287356322
Stage 1 last 2 conv_Kevin,0.6792480757844876,0.9961407732615777,0.7530094887409715,1.0,0.42298850574712643
Stage 2 first 2 conv_JF,0.03389579632918875,0.9790988056460369,0.614030118491243,0.9815257872373302,0.12873563218390804
Stage 2 first 2 conv_Kevin,0.0,0.9790988056460369,0.614030118491243,0.9688801917198641,0.12873563218390804
Stage 1 first 2 conv_JF,0.7920367081113083,0.9961407732615777,0.7530094887409715,0.8851005105597708,0.42298850574712643
Stage 3 first 2 conv_Kevin,0.49644760213143857,1.0,1.0,0.9326709544710726,0.6436781609195402
Stage 1 first 2 conv_Kevin,0.5894020130254587,0.9961407732615777,0.7530094887409715,0.982694918628569,0.42298850574712643
Stage 3-5_Kevin,0.6890171699230315,0.8291318510126044,0.3165274040504178,0.0,0.4689655172413793
