layer,params,flops
features.conv_1,1792,1769472
features.relu_1,0,0
features.bn_1,128,131072
features.conv_2,36928,37748736
features.relu_2,0,0
features.bn_2,128,131072
features.pool_1,0,0
features.conv_3,73856,18874368
features.relu_3,0,0
features.bn_3,256,65536
features.conv_4,147584,37748736
features.relu_4,0,0
features.bn_4,256,65536
features.pool_2,0,0
features.conv_5,295168,18874368
features.relu_5,0,0
features.bn_5,512,32768
features.conv_6,590080,37748736
features.relu_6,0,0
features.bn_6,512,32768
features.conv_7,590080,37748736
features.relu_7,0,0
features.bn_7,512,32768
features.pool_3,0,0
features.collapsed_conv_8_to_conv_13_85903c6c.layer_0,49152,786432
features.collapsed_conv_8_to_conv_13_85903c6c.layer_1,0,0
features.collapsed_conv_8_to_conv_13_85903c6c.layer_2,98816,1572864
features.collapsed_conv_8_to_conv_13_85903c6c.layer_3,0,0
features.relu_13,0,0
features.bn_13,1024,4096
features.pool_5,0,0
classifier.fc_1,2101248,2097152
classifier.relu_1,0,0
classifier.dropout_1,0,0
classifier.fc_2,16781312,16777216
classifier.relu_2,0,0
classifier.dropout_2,0,0
classifier.fc_3,409700,409600
