Model,Params,Time,Accuracy
Last 2_JF,10158836,0.018460275220870973,27.35
Last 2_Kevin,10158836,0.02042908148765564,31.256
Original Model_Kevin,11514548,0.01987576475143433,32.422
Stage 2-5_Kevin,11482964,0.01988828158378601,27.968
Stage 2_JF,11482964,0.019759446430206298,23.178
Stage 3-5_JF,11282900,0.019222048187255862,26.592
Stage 3_JF,11282900,0.021488380718231205,26.296
Stage 3_Kevin,11282900,0.020656300830841065,30.632
Stage 4 last 2 conv_JF,11514548,0.020843100690841672,27.948
Stage 4 last 2 conv_Kevin,11514548,0.022621223974227906,32.144
Stage 4-5_Kevin,10158836,0.020940913724899292,31.594
Stage 4_JF,10158836,0.017316663837432862,27.468
Stage 4_Kevin,10158836,0.018215814304351804,31.734
