Model,Accuracy,Memory (MB)
Stage 3_JF,26.162,670.2890625
Stage 4_Kevin,32.064,681.5390625
Last 2_JF,27.108,681.5390625
Original Model_Kevin,32.156,756.9140625
Stage 3_Kevin,30.554,670.2890625
Last 2_Kevin,31.394,681.5390625
Stage 4-5_JF,27.586,681.5390625
Stage 3-5_Kevin,30.554,670.2890625
Stage 2-5_JF,23.488,593.7890625
Stage 2_Kevin,27.914,593.7890625
Stage 4-5_Kevin,32.116,681.5390625
Stage 4 last 2 conv_Kevin,32.278,698.7890625
Stage 1-5_Kevin,29.476,626.7890625
Stage 1-5_JF,24.106,626.7890625
Stage 3-5_JF,25.95,670.2890625
