Model,Params,Time,Accuracy
Last 2_JF,10158836,0.019379873514175413,27.35
Last 2_Kevin,10158836,0.017343247938156125,31.256
Original Model_JF,11514548,0.018387948846817014,27.226
Original Model_Kevin,11514548,0.020911063957214357,32.412
Stage 2-5_JF,11482964,0.017584799861907956,23.178
Stage 2_JF,11482964,0.01832083826065064,22.542
Stage 2_Kevin,11482964,0.021080096244812007,27.968
Stage 3-5_JF,11282900,0.02144602541923523,26.296
Stage 3-5_Kevin,11282900,0.020249542379379273,30.608
Stage 3_JF,11282900,0.018474566507339477,26.296
Stage 3_Kevin,11282900,0.019990870475769043,30.632
Stage 4-5_JF,10158836,0.020408287954330445,27.468
Stage 4-5_Kevin,10158836,0.02052104644775391,31.594
Stage 4_JF,10158836,0.017197809600830078,27.468
Stage 4_Kevin,10158836,0.02029302072525024,31.594
