Model,Params,Time,Accuracy
Last 2_JF,10226916,0.01984417128562927,27.252
Last 2_Kevin,10226916,0.010825108742713927,31.564
Original Model_JF,11514548,0.02150895190238953,27.24
Original Model_Kevin,11514548,0.011136700892448424,32.172
Stage 1 first 2 conv_JF,11509916,0.020909062385559084,23.94
Stage 1 last 2 conv_JF,11509628,0.021594947385787964,25.152
Stage 1 last 2 conv_Kevin,11509628,0.011146646380424499,29.7
Stage 1-5_JF,11509292,0.01890399022102356,24.582
Stage 1-5_Kevin,11509292,0.011100275230407712,29.854
Stage 3 first 2 conv_JF,11514924,0.022062153768539428,24.536
Stage 3 first 2 conv_Kevin,11514924,0.02179812321662903,29.404
Stage 3 last 2 conv_JF,11526252,0.011296552038192749,26.518
Stage 3 last 2 conv_Kevin,11526252,0.02071843690872192,31.296
Stage 3-5_JF,11294604,0.02110427050590515,26.344
Stage 3-5_Kevin,11294604,0.010965110397338869,30.704
Stage 3_JF,11294604,0.02165016484260559,26.294
Stage 3_Kevin,11294604,0.021744935846328733,30.664
Stage 4 first 2 conv_JF,11518260,0.022639334106445315,27.092
Stage 4 last 2 conv_JF,11582628,0.021454544019699096,28.42
Stage 4 last 2 conv_Kevin,11582628,0.021553003311157226,32.102
Stage 4-5_JF,10226916,0.01083901274204254,27.566
Stage 4-5_Kevin,10226916,0.01963772811889648,31.738
Stage 4_JF,10226916,0.019762119770050046,27.52
Stage 4_Kevin,10226916,0.010995268821716307,31.844
