Model,Params,Time,Accuracy
Last 2_JF,10226916,0.020010966587066647,27.252
Last 2_Kevin,10226916,0.010686710381507872,31.564
Original Model_JF,11514548,0.022029923152923587,27.24
Original Model_Kevin,11514548,0.021772204732894897,32.156
Stage 1 first 2 conv_JF,11509916,0.019174208116531376,23.9
Stage 1 first 2 conv_Kevin,11509916,0.021491606283187865,29.742
Stage 1 last 2 conv_JF,11509628,0.02168863039016724,25.152
Stage 1 last 2 conv_Kevin,11509628,0.02180301103591919,29.674
Stage 1-5_JF,11509292,0.011011503982543944,24.392
Stage 1-5_Kevin,11509292,0.010979507207870482,29.854
Stage 3 first 2 conv_JF,11514924,0.02143783836364746,24.502
Stage 3 first 2 conv_Kevin,11514924,0.02241006393432618,29.414
Stage 3 last 2 conv_JF,11526252,0.021583750438690184,26.404
Stage 3 last 2 conv_Kevin,11526252,0.018759750604629515,31.318
Stage 3-5_JF,11294604,0.021223660755157477,26.344
Stage 3-5_Kevin,11294604,0.021533630323410036,30.664
Stage 3_JF,11294604,0.02136784000396728,26.344
Stage 3_Kevin,11294604,0.021337163019180296,30.614
Stage 4 first 2 conv_JF,11518260,0.019719003105163578,27.092
Stage 4 first 2 conv_Kevin,11518260,0.02157907838821411,29.806
Stage 4 last 2 conv_JF,11582628,0.022130151796340945,28.42
Stage 4 last 2 conv_Kevin,11582628,0.02264264311790467,31.998
Stage 4-5_JF,10226916,0.01967593612670898,27.52
Stage 4-5_Kevin,10226916,0.0199937294960022,31.738
Stage 4_JF,10226916,0.010826520133018495,27.566
Stage 4_Kevin,10226916,0.020447400188446044,31.758
