Architecture,Dataset,Experiment,Is_Quantized,Collapsed_Ranges,Delta_Acc,Params_Reduction_%,FLOPs_Reduction_%,Memory_Reduction_%
XceptionNet,TinyImageNet,Set_0,False,"['middle_flow.0.rep.4.depthwise', 'middle_flow.0.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_1,False,"['middle_flow.1.rep.4.depthwise', 'middle_flow.1.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_2,False,"['middle_flow.2.rep.4.depthwise', 'middle_flow.2.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_3,False,"['middle_flow.3.rep.4.depthwise', 'middle_flow.3.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_4,False,"['middle_flow.4.rep.4.depthwise', 'middle_flow.4.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_5,False,"['middle_flow.5.rep.4.depthwise', 'middle_flow.5.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_6,False,"['middle_flow.6.rep.4.depthwise', 'middle_flow.6.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_7,False,"['middle_flow.7.rep.4.depthwise', 'middle_flow.7.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_8,False,"['block4.rep.1.depthwise', 'conv4.depthwise']",,,,
XceptionNet,TinyImageNet,Dynamic_Region_All_Combined,False,"[['middle_flow.0.rep.4.depthwise', 'middle_flow.0.rep.7.depthwise'], ['middle_flow.1.rep.4.depthwise', 'middle_flow.1.rep.7.depthwise'], ['middle_flow.2.rep.4.depthwise', 'middle_flow.2.rep.7.depthwise'], ['middle_flow.3.rep.4.depthwise', 'middle_flow.3.rep.7.depthwise'], ['middle_flow.4.rep.4.depthwise', 'middle_flow.4.rep.7.depthwise'], ['middle_flow.5.rep.4.depthwise', 'middle_flow.5.rep.7.depthwise'], ['middle_flow.6.rep.4.depthwise', 'middle_flow.6.rep.7.depthwise'], ['middle_flow.7.rep.4.depthwise', 'middle_flow.7.rep.7.depthwise'], ['block4.rep.1.depthwise', 'conv4.depthwise']]",11.021999999999998,45.40728948521433,23.35351484708483,6.8362348775449995
XceptionNet,TinyImageNet,Control (Continued),False,None,0.0,0.0,0.0,0.0
XceptionNet,TinyImageNet,Set_0,True,"['middle_flow.0.rep.4.depthwise', 'middle_flow.0.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_1,True,"['middle_flow.1.rep.4.depthwise', 'middle_flow.1.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_2,True,"['middle_flow.2.rep.4.depthwise', 'middle_flow.2.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_3,True,"['middle_flow.3.rep.4.depthwise', 'middle_flow.3.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_4,True,"['middle_flow.4.rep.4.depthwise', 'middle_flow.4.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_5,True,"['middle_flow.5.rep.4.depthwise', 'middle_flow.5.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_6,True,"['middle_flow.6.rep.4.depthwise', 'middle_flow.6.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_7,True,"['middle_flow.7.rep.4.depthwise', 'middle_flow.7.rep.7.depthwise']",,,,
XceptionNet,TinyImageNet,Set_8,True,"['block4.rep.1.depthwise', 'conv4.depthwise']",,,,
XceptionNet,TinyImageNet,Dynamic_Region_All_Combined,True,"[['middle_flow.0.rep.4.depthwise', 'middle_flow.0.rep.7.depthwise'], ['middle_flow.1.rep.4.depthwise', 'middle_flow.1.rep.7.depthwise'], ['middle_flow.2.rep.4.depthwise', 'middle_flow.2.rep.7.depthwise'], ['middle_flow.3.rep.4.depthwise', 'middle_flow.3.rep.7.depthwise'], ['middle_flow.4.rep.4.depthwise', 'middle_flow.4.rep.7.depthwise'], ['middle_flow.5.rep.4.depthwise', 'middle_flow.5.rep.7.depthwise'], ['middle_flow.6.rep.4.depthwise', 'middle_flow.6.rep.7.depthwise'], ['middle_flow.7.rep.4.depthwise', 'middle_flow.7.rep.7.depthwise'], ['block4.rep.1.depthwise', 'conv4.depthwise']]",11.43,45.40728948521433,23.35351484708483,53.4181174387725
XceptionNet,TinyImageNet,Control (Continued),True,None,0.2729999999999997,0.0,0.0,50.0
