layer,params,flops
features.conv_1,1792,0.001769472
features.relu_1,0,0.0
features.bn_1,128,0.000131072
features.conv_2,36928,0.037748736
features.relu_2,0,0.0
features.bn_2,128,0.000131072
features.pool_1,0,0.0
features.conv_3,73856,0.018874368
features.relu_3,0,0.0
features.bn_3,256,6.5536e-05
features.conv_4,147584,0.037748736
features.relu_4,0,0.0
features.bn_4,256,6.5536e-05
features.pool_2,0,0.0
features.conv_5,295168,0.018874368
features.relu_5,0,0.0
features.bn_5,512,3.2768e-05
features.conv_6,590080,0.037748736
features.relu_6,0,0.0
features.bn_6,512,3.2768e-05
features.conv_7,590080,0.037748736
features.relu_7,0,0.0
features.bn_7,512,3.2768e-05
features.pool_3,0,0.0
features.collapsed_f7aacb77.layer_0,131072,0.002097152
features.collapsed_f7aacb77.layer_1,0,0.0
features.relu_13,0,0.0
features.bn_13,1024,4.096e-06
features.pool_5,0,0.0
classifier.fc_1,2101248,0.002097152
classifier.relu_1,0,0.0
classifier.dropout_1,0,0.0
classifier.fc_2,16781312,0.016777216
classifier.relu_2,0,0.0
classifier.dropout_2,0,0.0
classifier.fc_3,40970,4.096e-05
