Model,Params,Time,Accuracy
Last 2_JF,29188170,0.04301422424316406,67.102
Last 2_Kevin,29188170,0.04288576116561889,65.056
Original Model_JF,33646666,0.046485390377044675,60.356
Original Model_Kevin,33646666,0.046485091495513914,59.38
Stage 3_JF,32203082,0.03939292030334472,55.13
Stage 3_Kevin,32203082,0.023194276762008664,50.382
