Model,Accuracy,Memory (MB)
Stage 4_JF,67.444,1629.01953125
Stage 3_Kevin,52.806,1545.01953125
Stage 3_JF,55.424,1545.01953125
Original Model_Kevin,57.404,1713.01953125
Original Model_JF,64.506,1713.01953125
Last 2_JF,70.578,1707.01953125
Last 2_Kevin,68.408,1707.01953125
Stage 4_Kevin,66.308,1629.01953125
Stage 4-5_JF,67.018,1569.01953125
Stage 4-5_Kevin,66.74,1569.01953125
Stage 3-5_JF,48.426,1372.01953125
Stage 3-5_Kevin,49.78,1372.01953125
Stage 2-5_JF,38.18,1344.01953125
Stage 2-5_Kevin,38.36,1344.01953125
