Model,FLOPs,Memory (MB)
Original Model_Kevin,170324393984.0,1713.01953125
Last 2_JF,161195491328.0,1701.01953125
Stage 3_Kevin,123046199296.0,1521.01953125
Stage 4_Kevin,123062976512.0,1617.01953125
Stage 4-5_Kevin,108554878976.0,1557.01953125
Stage 3-5_JF,64487424000.0,1348.01953125
Stage 4_JF,123062976512.0,1617.01953125
Last 2_Kevin,161195491328.0,1701.01953125
