Model,Accuracy,Params,FLOPs,Inference Time,Memory (MB)
Stage 4_JF,1.0,0.23878819264629725,0.6056209859475351,0.10563062699929524,0.7697841726618705
Last 2_JF,0.9374501992031873,0.28303124460555845,0.9238226904432739,0.8501340251530024,0.9712230215827338
Original Model_JF,0.7134794156706507,0.433350595546349,1.0,0.9349420916553446,1.0
Stage 3-5_JF,0.3664674634794157,0.16011565682720524,0.11682970792573019,0.4445531114128468,0.12470023980815348
Stage 2-5_JF,0.0,1.0,0.0,0.0,0.0
Stage 3_JF,0.5399734395750332,0.3846797859485586,0.6054809862975342,0.808172709317517,0.539568345323741
Stage 3_Kevin,0.441965471447543,0.3846797859485586,0.6054809862975342,0.797235640638081,0.539568345323741
Stage 3-5_Kevin,0.40411686586985374,0.16011565682720524,0.11682970792573019,0.1229316194995099,0.12470023980815348
Stage 4-5_JF,0.9509296148738376,0.0,0.48455628860927846,0.6032915102839198,0.6258992805755396
Stage 4-5_Kevin,0.9778220451527222,0.0,0.48455628860927846,0.22252737545465476,0.6258992805755396
Stage 4_Kevin,0.9151394422310758,0.23878819264629725,0.6056209859475351,0.8821449034975104,0.7697841726618705
Original Model_Kevin,0.6810756972111554,0.433350595546349,1.0,1.0,1.0
