layer,layer_type,identity_score,arithmetic_intensity,weight_l1,act_var,flops
stem.conv1,Conv2d,0.0,30.918168105523282,0.04139237501183335,0.5377693176269531,1233125376
stem.bn1,BatchNorm2d,0.9308425188064575,0.249998092665919,0.9946014881134033,0.9799272418022156,16777216
stem.conv2,Conv2d,-0.14972728490829468,7.9921951219512195,0.062096238136291504,0.42534998059272766,134217728
stem.bn2,BatchNorm2d,0.6654714345932007,0.2499923708382923,0.994606614112854,0.9781785607337952,4194304
stem.conv3,Conv2d,0.0,106.59469879518072,0.020852722503520823,0.2088402658700943,3623878656
stem.bn3,BatchNorm2d,0.8094761371612549,0.2499923708382923,0.994618813196818,0.9933037161827087,12582912
stage3.inception_3a.branch1.conv1,Conv2d,0.0,11.930097087378641,0.03599632034699122,0.5481047630310059,100663296
stage3.inception_3a.branch1.bn1,BatchNorm2d,0.5924943685531616,0.2499694861467106,0.9944123029708862,0.9983347058296204,1048576
stage3.inception_3a.branch2.conv1,Conv2d,0.0,15.875968992248062,0.03636250893274943,0.633143424987793,150994944
stage3.inception_3a.branch2.bn1,BatchNorm2d,0.5825545191764832,0.2499694861467106,0.9946184158325195,0.9950733184814453,1572864
stage3.inception_3a.branch2.conv2,Conv2d,0.0,116.41263157894737,0.017023408854449237,0.18014788627624512,905969664
stage3.inception_3a.branch2.bn2,BatchNorm2d,0.8313454389572144,0.2499694861467106,0.9948278665542603,0.9894558191299438,2097152
stage3.inception_3a.branch3.conv1,Conv2d,0.0,3.685662867426515,0.03550873200098673,0.548387885093689,25165824
stage3.inception_3a.branch3.bn1,BatchNorm2d,0.7077666521072388,0.2499694861467106,0.9946142435073853,1.0098199844360352,262144
stage3.inception_3a.branch3.conv2,Conv2d,0.0,64.56494325346785,0.02466019630432129,0.1113276481628418,104857600
stage3.inception_3a.branch3.bn2,BatchNorm2d,0.8185596466064453,0.2499694861467106,0.9941767454147339,1.0152678489685059,524288
stage3.inception_3a.branch4.conv,Conv2d,0.0,6.834260289210234,0.035896639029184975,1.3016071319580078,50331648
stage3.inception_3a.branch4.bn,BatchNorm2d,0.3398679196834564,0.2499694861467106,0.9946411848068237,1.017029881477356,524288
stage3.inception_3b.branch1.conv1,Conv2d,0.0,21.11340206185567,0.03109794482588768,0.16817507147789001,268435456
stage3.inception_3b.branch1.bn1,BatchNorm2d,0.8141480684280396,0.2499694861467106,0.9945683479309082,0.9890711307525635,2097152
stage3.inception_3b.branch2.conv1,Conv2d,0.0,21.11340206185567,0.03116566501557827,0.19797755777835846,268435456
stage3.inception_3b.branch2.bn1,BatchNorm2d,0.8138259649276733,0.2499694861467106,0.9946195483207703,0.997799277305603,2097152
stage3.inception_3b.branch2.conv2,Conv2d,0.0,159.35446685878964,0.01466990179485745,0.1524570733308792,1811939328
stage3.inception_3b.branch2.bn2,BatchNorm2d,0.8367762565612793,0.2499694861467106,0.9946940739949545,0.9915504455566406,3145728
stage3.inception_3b.branch3.conv1,Conv2d,0.0,7.086505190311419,0.031105294823646545,0.23243770003318787,67108864
stage3.inception_3b.branch3.bn1,BatchNorm2d,0.7612263560295105,0.2499694861467106,0.9946178197860718,0.9924177527427673,524288
stage3.inception_3b.branch3.conv2,Conv2d,0.0,139.7634212920837,0.017628472646077475,0.09523755311965942,629145600
stage3.inception_3b.branch3.bn2,BatchNorm2d,0.8885490894317627,0.2499694861467106,0.9944972991943359,0.9788666367530823,1572864
stage3.inception_3b.branch4.conv,Conv2d,0.0,12.720496894409937,0.031207073479890823,0.4026604890823364,134217728
stage3.inception_3b.branch4.bn,BatchNorm2d,0.6357960104942322,0.2499694861467106,0.9946860074996948,0.9913008809089661,1048576
stage4.inception_4a.branch1.conv1,Conv2d,0.0,32.13389121338912,0.022699048784044055,0.5772302746772766,188743680
stage4.inception_4a.branch1.bn1,BatchNorm2d,0.571727991104126,0.24987798926305516,0.9946266015370687,0.9950755834579468,786432
stage4.inception_4a.branch2.conv1,Conv2d,0.0,19.24812030075188,0.022768174277411568,0.7727727293968201,94371840
stage4.inception_4a.branch2.bn1,BatchNorm2d,0.5251209139823914,0.24987798926305516,0.9946196873982748,0.9899725317955017,393216
stage4.inception_4a.branch2.conv2,Conv2d,0.0,114.68538608806637,0.01691184220490632,0.09314664453268051,368050176
stage4.inception_4a.branch2.bn2,BatchNorm2d,0.8702694177627563,0.24987798926305516,0.9946315471942608,0.9887986779212952,851968
stage4.inception_4a.branch3.conv1,Conv2d,0.0,3.8419209604802402,0.02265588045120239,0.890751838684082,15728640
stage4.inception_4a.branch3.bn1,BatchNorm2d,0.4564707577228546,0.24987798926305516,0.9946173429489136,0.9994259476661682,65536
stage4.inception_4a.branch3.conv2,Conv2d,0.0,65.41737649063032,0.024785407384236655,0.031162887811660767,39321600
stage4.inception_4a.branch3.bn2,BatchNorm2d,0.8511050939559937,0.24987798926305516,0.9946032365163168,0.9989626407623291,196608
stage4.inception_4a.branch4.conv,Conv2d,0.0,13.738819320214668,0.02275944153467814,0.9018067717552185,62914560
stage4.inception_4a.branch4.bn,BatchNorm2d,0.39444687962532043,0.24987798926305516,0.994576096534729,0.9888788461685181,262144
stage4.inception_4b.branch1.conv1,Conv2d,0.0,28.764044943820224,0.021971258521080016,0.20095349848270416,167772160
stage4.inception_4b.branch1.bn1,BatchNorm2d,0.790594220161438,0.24987798926305516,0.9946702003479004,0.9856804609298706,655360
stage4.inception_4b.branch2.conv1,Conv2d,0.0,21.987730061349694,0.022025627749306814,0.2219385802745819,117440512
